detector_type,anomaly_type,mean_event_recall,std_event_recall,mean_detection_delay,num_runs
diff_score,frozen,0.035763888888888894,0.09473245255976204,0.0,144
diff_score,level_shift,1.0,0.0,0.0,144
diff_score,spike,0.9965277777777778,0.009855206599818039,0.0,144
raw_zscore,frozen,0.5138888888888888,0.18363505580861653,0.0,144
raw_zscore,level_shift,0.8812500000000001,0.1304745239447204,0.6392361111111111,144
raw_zscore,spike,0.7696298926767677,0.05481878237810303,0.010083508391645983,144
residual,frozen,0.4340277777777778,0.39967875114659795,6.428014184397163,144
residual,level_shift,1.0,0.0,0.010416666666666666,144
residual,spike,0.9848484848484849,0.05339609861226863,0.0019909840562014466,144
rolling_zscore,frozen,0.010763888888888889,0.048097800439816464,0.0,144
rolling_zscore,level_shift,0.75,0.4345240946267409,0.0,144
rolling_zscore,spike,0.6417889835858586,0.3739849200523824,0.0007122507122507121,144
