anomaly_type,detector_type,mean_average_precision,std_average_precision,mean_oracle_best_f1,mean_event_recall,mean_detection_delay,num_runs
drift,diff_score,0.039062838584342736,0.00982273175848646,0.08819347348845424,0.4351851851851852,18.571428571428573,36
drift,flatness,0.018729946125217344,0.0027231874802332114,0.05257261504587866,0.0,,36
drift,raw_zscore,0.04737842168568858,0.039884039146388,0.1000242866365776,0.8981481481481483,11.74074074074074,36
drift,residual,0.6197520050042343,0.2190886729407103,0.6330424099003695,0.9861111111111112,12.319444444444445,36
drift,rolling_zscore,0.06426218555722057,0.01839936211323109,0.15505799878742096,0.16203703703703703,14.428571428571429,36
noise_burst,diff_score,0.8417656009889909,0.050115731241331056,0.8290924483925044,1.0,0.0625,36
noise_burst,flatness,0.011416189455192075,0.0004867696109004012,0.04184238319666235,0.0,,36
noise_burst,raw_zscore,0.2954133171224112,0.03196160893867636,0.3718683069372857,0.9826388888888888,0.753968253968254,36
noise_burst,residual,0.7130652848529151,0.15642463676337598,0.7160974996567915,0.9895833333333334,0.5223214285714286,36
noise_burst,rolling_zscore,0.15895146561124357,0.01929616524674965,0.2836965162278113,0.9965277777777778,0.7380952380952381,36
stuck_with_jitter,diff_score,0.026651713423409534,0.009297321996542008,0.06507383759125661,0.12222222222222223,1.25,36
stuck_with_jitter,flatness,0.05838829342372714,0.016866178568042938,0.14739177138285697,0.005555555555555556,0.0,36
stuck_with_jitter,raw_zscore,0.03159591474445646,0.011810447176624782,0.09761218891675381,0.5541666666666667,0.17142857142857143,36
stuck_with_jitter,residual,0.1287884640318716,0.17008078550683392,0.19895198898730515,0.4222222222222223,6.530555555555555,36
stuck_with_jitter,rolling_zscore,0.019473442424453737,0.0029616982083103694,0.04848525790329599,0.02638888888888889,0.5,36
