detector_type,anomaly_type,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_false_positive_rate,std_false_positive_rate,num_runs
diff_score,frozen,0.0008384408553471479,0.0023329481807703913,0.0019656225966446918,0.005108055267689685,0.0011015764834160187,0.0029005878958929996,0.05120180144705208,0.042113784849966245,144
diff_score,level_shift,0.05795459215532364,0.020912648203006794,0.10411607324038834,0.042284259833337,0.0686883966385394,0.01649181571902462,0.051873761001912516,0.04199570528383489,144
diff_score,spike,0.18429639491886698,0.06485884586201236,0.5119947868288566,0.033211975992503896,0.2629990869016704,0.07205781949255034,0.059702272247766065,0.04140420852275096,144
raw_zscore,frozen,0.02891002587071828,0.01271948734681017,0.5229672576317516,0.19317755776894877,0.054594964932656156,0.023608476804005997,0.4379041467431148,0.11094221270067489,144
raw_zscore,level_shift,0.0447055218933355,0.0156261632145491,0.7929865270338536,0.1533042235093396,0.08433469202882403,0.028378157579510323,0.4379041467431148,0.11094221270067489,144
raw_zscore,spike,0.03534061333296644,0.0083096539595216,0.7384941633477964,0.05798637185490742,0.06725843266262319,0.015009196328638936,0.4406260464478635,0.11047774485888874,144
residual,frozen,0.09850161716343263,0.10853655311200651,0.18132284488596284,0.19689535877442407,0.12025548431070024,0.1329288855759251,0.035045918781085816,0.03054227823224759,144
residual,level_shift,0.4971940499170058,0.2050682398687213,0.9968519584025913,0.01746180458074579,0.6379274683760994,0.18147963269007714,0.035045918781085816,0.03054227823224759,144
residual,spike,0.46740923571348464,0.19976241409339135,0.9814800014208581,0.06037218803497329,0.6036954423801022,0.17594482805196218,0.03443869230467807,0.03001321431780843,144
rolling_zscore,frozen,0.0008252766716308362,0.0037348702829831416,0.0008025553911629826,0.00378557460267259,0.0007971749710881861,0.0036414280380178857,0.015576906538660383,0.010663345253331447,144
rolling_zscore,level_shift,0.10286710673999101,0.0663125656980374,0.08355357643804646,0.052589054846521884,0.08937937549105739,0.054002693072931526,0.01384833494765347,0.00955587436921894,144
rolling_zscore,spike,0.36006235078898335,0.21610051831517849,0.4623141883294525,0.2782526955048762,0.39856556583714153,0.2324364086846614,0.011130887909584771,0.007643610410879575,144
