detector_type,anomaly_type,mean_pr_auc,std_pr_auc,mean_roc_auc,mean_best_f1,num_runs
diff_score,frozen,0.022440511570991546,0.0018879074920146214,0.07600509311895504,0.04605224792571562,36
diff_score,level_shift,0.062155734538601064,0.009428885265778494,0.5182815017351285,0.10671023060296451,36
diff_score,spike,0.2876962807026887,0.034698354566329304,0.7400211942613083,0.4929892213041811,36
raw_zscore,frozen,0.04352762813147512,0.017885110360468297,0.5182064074032908,0.11441598964869772,36
raw_zscore,level_shift,0.5147016757009732,0.24247628540444463,0.8296484760247499,0.558745672840176,36
raw_zscore,spike,0.40919287124855536,0.06302081945325994,0.7737199666410477,0.4737826671522218,36
residual,frozen,0.12341242098819315,0.16272115775204765,0.6397522239844037,0.1938354747585132,36
residual,level_shift,0.9955398153318709,0.00934614659084056,0.9998970760349652,0.9854325496666162,36
residual,spike,0.981040311214203,0.034655375045912935,0.9994289341777957,0.9613035282241243,36
rolling_zscore,frozen,0.01811597746798175,0.0028782521998837315,0.39153152208130765,0.04952768121368317,36
rolling_zscore,level_shift,0.07265469706155966,0.012696275805109776,0.6939601426240436,0.13846549254448395,36
rolling_zscore,spike,0.5173237561511754,0.033613424547090945,0.9805787776242636,0.5666604035811083,36
