dataset,horizon,aggregation_method,anomaly_type,window,mean_flatness_score_anomaly,mean_flatness_score_normal,ratio_anomaly_to_normal,mean_residual_score_anomaly,mean_residual_score_normal,residual_ratio_anomaly_to_normal
ETTh1,24,first,frozen,12,220784.57092056904,9461.553376262113,23.334917863609558,0.9757103272727269,0.5402607255693317,1.8059956519120732
ETTh1,24,mean,frozen,12,220784.30066635765,9395.641777957868,23.49858645748053,1.401770210470779,1.2329108523463794,1.1369589868108105
ETTh1,24,max,frozen,12,220784.30066635765,9395.641777957868,23.49858645748053,1.401770210470779,1.2329108523463794,1.1369589868108105
ETTh1,96,first,frozen,12,233769.171630527,9674.070354867765,24.164510183527387,1.4690888649350649,0.5052618094439937,2.907573717035881
ETTh1,96,mean,frozen,12,220784.30066635765,9395.641777957868,23.49858645748053,1.6661167109293828,1.9366183431705846,0.860322250113261
ETTh1,96,max,frozen,12,220784.30066635765,9395.641777957868,23.49858645748053,1.6661167109293828,1.9366183431705846,0.860322250113261
ETTh2,24,first,frozen,12,220780.1080814833,9460.49170125773,23.337064819664132,3.633492837662337,0.7647057067744889,4.751485511338466
ETTh2,24,mean,frozen,12,233767.9923072889,9394.552932074901,24.883354638864656,5.55083252056277,2.6895647731375445,2.063839663637369
ETTh2,24,max,frozen,12,233767.9923072889,9394.552932074901,24.883354638864656,5.55083252056277,2.6895647731375445,2.063839663637369
ETTh2,96,first,frozen,12,220780.95178016226,9672.991434302658,22.82447506098244,3.175399551948053,0.8618037427769112,3.684592801980024
ETTh2,96,mean,frozen,12,233767.9923072889,9394.552932074901,24.883354638864656,7.264330193804112,4.185948302557015,1.7354080684557376
ETTh2,96,max,frozen,12,233767.9923072889,9394.552932074901,24.883354638864656,7.264330193804112,4.185948302557015,1.7354080684557376
