dataset,model,horizon,aggregation_method,split,num_points,mean_score,std_score,median_score,p90,p95,p99,max_score,skewness,kurtosis,lag1_autocorrelation
ETTh1,nlinear,24,first,validation,1622,0.4890213264963008,0.4021999097551979,0.38466072500000004,1.00689086,1.2771216849999998,1.7860218639999996,3.2154217,1.5583857107609684,3.819893558670042,0.03850352808147344
ETTh1,nlinear,24,first,test,3366,0.5383472900150623,0.5045709242793799,0.4216222500000002,1.1137344500000008,1.403491999999999,2.2207616999999993,6.0177545,2.7983053933130733,16.09276621476011,0.20995014523068717
ETTh1,nlinear,24,mean,validation,1645,1.2495173643920974,0.7474848248404935,1.032292,2.3446151000000004,2.8506669599999994,3.499530047999998,4.5071087,1.2612812866113874,1.2942069708414805,0.8376452877704845
ETTh1,nlinear,24,mean,test,3389,1.4217421085137405,0.9569907773951069,1.1673182708333345,2.5056419692,3.083384178333333,5.419262610333333,8.961039910833334,2.4818754565646737,10.113199956966401,0.8541194754523086
ETTh1,nlinear,24,max,validation,1645,2.4755248743161093,1.081316092959165,2.2356339,3.98579732,4.715370339999999,5.787593368,7.1510963,1.092094964284616,1.223578959943429,0.8629307450286521
ETTh1,nlinear,24,max,test,3389,2.80887558852334,1.3472588235208554,2.5222512000000004,4.399632199999999,5.20785944,7.824868679999999,10.956146,1.7485542628763988,5.08512715046667,0.8709651945893431
ETTh1,nlinear,96,first,validation,1550,0.4543224808672903,0.389458479941006,0.34922647500000004,0.9743620140000002,1.24157642,1.703343551,3.1390533,1.5465195587529166,3.4825072280127674,0.039177259396503974
ETTh1,nlinear,96,first,test,3294,0.5061928955883425,0.4781734549822716,0.38218735000000015,1.0428630999999993,1.3439725759999994,2.208363990000002,5.850261500000001,2.8714245432753254,16.6870609070081,0.2144553332630536
ETTh1,nlinear,96,mean,validation,1645,1.7803000770516717,1.1951650344614528,1.4331557,3.2891336200000016,4.287601599999997,5.992807184,7.093523,1.50917146886814,2.453306570600843,0.9335559498097948
ETTh1,nlinear,96,mean,test,3389,2.1141254376762935,1.3844449257771265,1.73516715,4.092706147291667,4.791321524791666,6.515204115904166,9.97775291375,1.3693728321579264,2.3156158945547,0.9272097440690643
ETTh1,nlinear,96,max,validation,1645,3.4085993047963528,1.534927345425226,3.1322832,5.39363956,6.538868999999997,8.551311279999998,9.729773,1.1670461515681638,1.6883806235985204,0.9343163015978044
ETTh1,nlinear,96,max,test,3389,4.042041543992269,1.8581972730602603,3.6482956999999994,6.683735960000001,7.606397139999999,9.514722679999997,13.7623419,1.0897685786867721,1.4465876026362814,0.9375853823702938
ETTh2,nlinear,24,first,validation,1622,0.727943422931381,0.5629863596584227,0.614058495,1.4982701100000002,1.8387719449999993,2.4745504259999995,3.279704,1.0970528306161307,1.2180653127130947,0.3325494081706846
ETTh2,nlinear,24,first,test,3366,0.7621835943850267,0.6315729242755479,0.6072744999999973,1.609773999999998,2.0527282500000013,2.7853887999999927,4.554166999999996,1.4647063245036995,2.8211860297758853,0.39969246678688364
ETTh2,nlinear,24,mean,validation,1645,2.370368598231003,1.5249051524916135,1.9548899,4.469778160000006,5.40317032,7.303702611999998,10.185641,1.398507880838662,2.303840677048641,0.9337711051750914
ETTh2,nlinear,24,mean,test,3389,2.9128156648061925,2.2627272962891785,2.195886454166667,6.0591896666666685,7.6840591625000005,10.99478742833333,16.044365541666668,1.7733492758317952,3.777153683170475,0.9505879683053939
ETTh2,nlinear,24,max,validation,1645,4.530554544346504,2.0676816743081625,4.1030607,7.2019657000000015,8.4124906,11.002579899999997,13.42463,1.020824980314598,1.1812550640929556,0.9180673071644108
ETTh2,nlinear,24,max,test,3389,5.1637388338197105,2.9158895047703624,4.439836,8.947260800000002,11.122800999999997,15.352685519999996,21.532928,1.5734765460712428,3.32343638079689,0.9495704752958087
ETTh2,dlinear,96,first,validation,1550,0.8418051997150451,0.6654024290577553,0.682444585,1.7820022700000004,2.1493214099999998,2.800671927,4.4317913,1.1335080238353428,1.4512237121483644,0.535582615916687
ETTh2,dlinear,96,first,test,3294,0.8613354140558592,0.7951820003414733,0.6431765,1.9358755000000005,2.4577084000000005,3.6610613500000073,6.778174,1.8379320884452717,4.8180895513864535,0.6149402478973546
ETTh2,dlinear,96,mean,validation,1645,3.2987887056960483,1.9101214047325379,2.8179452,5.790393000000001,7.144703399999999,10.3083672,12.373792,1.4694870509942441,2.7711896392443527,0.9534460326285848
ETTh2,dlinear,96,mean,test,3389,4.492458267334493,3.029536578257133,3.712655229166668,8.617550783333336,10.451144262208329,14.389751578749994,20.599043427083338,1.338332907324771,2.1911244810686297,0.9713823707160631
ETTh2,dlinear,96,max,validation,1645,6.878576100060791,2.6136563797496946,6.482258,10.378797200000003,11.6148274,15.249635319999987,19.205967,1.0058617660337,1.6678123212974563,0.9418259943045361
ETTh2,dlinear,96,max,test,3389,8.557084869189142,4.085492326309895,7.794118000000001,14.322410200000002,16.34172,19.802281599999965,27.026596,0.8941107473995568,0.7161509440717366,0.9715103585739269
