model,horizon,mae,rank
tcn,24,1.4042270183563232,1
nlinear,24,1.4267959594726562,2
linear,24,1.42744243144989,3
dlinear,24,1.4418936967849731,4
naive,24,1.452306866645813,5
transformer,24,1.4898529052734375,6
lstm,24,1.5865854024887085,7
linear,48,1.7878963947296145,1
nlinear,48,1.805091142654419,2
dlinear,48,1.8097537755966189,3
naive,48,1.834916949272156,4
transformer,48,1.8417099714279177,5
tcn,48,1.8794026374816897,6
lstm,48,2.042226552963257,7
nlinear,96,2.130739450454712,1
dlinear,96,2.1524813175201416,2
transformer,96,2.236910104751587,3
linear,96,2.281933546066284,4
tcn,96,2.3186235427856445,5
naive,96,2.3309926986694336,6
lstm,96,2.8417317867279053,7
