model,horizon,mean_mae,std_mae,mean_rmse,std_rmse,mean_wape,std_wape,num_runs
dlinear,24,2.123096317052841,0.783922582518443,2.9193100283605324,1.1265172226060347,14.133018175760904,3.514621063897602,12
dlinear,48,2.7118493219216666,0.9819184678379904,3.6137501917437262,1.3557049643334258,18.11616611480713,4.609640275377291,12
dlinear,96,3.34785920381546,1.2288504611576316,4.373601991225333,1.6358671839096184,22.23118527730306,5.515353180858306,12
linear,24,2.1640630463759103,0.8176530725759058,2.9565831156614575,1.1564077469479808,14.327558755874634,3.424016418611869,12
linear,48,2.725668102502823,0.9952669295423145,3.63027046269536,1.369000442115003,18.17167083422343,4.548322103984939,12
linear,96,3.4085617462793985,1.2843264242076984,4.429740778364341,1.67779818433071,22.497187614440918,5.348808423539635,12
lstm,24,2.630699078241984,1.1397231856402186,3.509819573575634,1.5467795878172927,17.161396980285645,4.020192541650175,6
lstm,48,3.339904169241587,1.4057152356178875,4.3702019859614385,1.842845034603922,21.82300599416097,5.075785380775001,6
lstm,96,4.349302212397258,1.885937460959882,5.460305550986054,2.2661353877496304,28.080464045206707,6.077438689758976,6
lstm_regularized,96,4.234094778696696,1.654539338207164,5.281917110838684,1.967649768683057,28.17661253611247,7.548816534418232,6
naive,24,3.174542725086212,1.7988166874409224,4.212864051282712,2.348258138827777,18.43868923187256,0.0188986322390404,12
naive,48,3.6309685111045837,1.8759146751561548,4.747217075314298,2.415381243764072,21.848997116088867,1.5040255287801925,12
naive,96,4.259887933731079,2.0146653666218763,5.53274586538371,2.580625181264193,26.359195709228516,3.269211369028775,12
nlinear,24,2.115840047597885,0.7758255178793375,2.9171201211855635,1.117561151646504,14.106502771377563,3.5288370582625532,12
nlinear,48,2.7066008746623993,0.9959108018715158,3.6214777314567708,1.374510252447963,18.008268276850384,4.439988971712289,12
nlinear,96,3.351410150527954,1.2715061184047545,4.3843723714655285,1.6769335272266594,22.075085163116455,5.149030885185999,12
transformer,24,2.2671726743380227,0.8885676955206558,3.053607068645204,1.225905811315727,15.045800685882568,3.8271777148575774,6
transformer,48,2.9783456722895303,1.2072932432918662,3.8179668983040327,1.570880084963467,19.639556884765625,4.864020426623858,6
transformer,96,3.6296681563059487,1.2704753648440126,4.581388243468165,1.6333733214852724,24.668147087097168,7.724591065015673,6
transformer_regularized,96,3.589452107747396,1.32069165141352,4.507923490783483,1.6604871205776424,24.087079683939617,6.723360134890111,6
