model,input_len,num_runs,mean_mae,mean_rmse,mean_wape,total_parameters,rank_within_input_len
nlinear,48,1,2.214332818984986,2.907160298518425,28.24895477294922,32352,1
dlinear,48,1,2.2232491970062256,2.8662325648672966,28.362703323364254,64704,2
transformer,48,1,2.4278063774108887,3.081618596869948,30.97230529785156,73696,3
nlinear,96,1,2.130739450454712,2.7830343630304144,26.95583724975586,64608,1
dlinear,96,1,2.1524813175201416,2.789131227816548,27.230892181396484,129216,2
transformer,96,1,2.236910104751587,2.7873467475947273,28.29899787902832,73696,3
nlinear,192,1,2.1143643856048584,2.7388180629642127,26.321380615234375,129120,1
dlinear,192,1,2.143026113510132,2.72845961363747,26.678186416625977,258240,2
transformer,192,1,2.493445634841919,3.072688534991604,31.04050064086914,73696,3
